transaction_id,batch_id,scenario,process_code,status,transaction_date,warehouse_code,vendor,material_type,remarks
TXN-B1008-2,B1008,High Efficiency,SEG,APPROVED,2025-01-08T22:22:34Z,WH-COLLECT,Vendor A - 2,PVC,B1008:Sorting
TXN-B1008-3,B1008,High Efficiency,MB,APPROVED,2025-01-09T05:58:42Z,WH-WASH,Vendor A - 2,PVC,B1008:Processing
TXN-B1008-4,B1008,High Efficiency,MB,APPROVED,2025-01-09T11:03:07Z,WH-RECY,Vendor A - 2,PVC,B1008:Recycling
TXN-B1009-1,B1009,High Efficiency,PR,APPROVED,2025-02-23T02:37:05Z,WH-COLLECT,Vendor A - 4,PP,B1009:Collection
TXN-B1009-2,B1009,High Efficiency,SEG,APPROVED,2025-02-23T10:06:46Z,WH-COLLECT,Vendor A - 4,PP,B1009:Sorting
TXN-B1009-3,B1009,High Efficiency,MB,APPROVED,2025-02-23T16:50:29Z,WH-WASH,Vendor A - 4,PP,B1009:Processing
TXN-B1009-4,B1009,High Efficiency,MB,APPROVED,2025-02-24T00:10:30Z,WH-RECY,Vendor A - 4,PP,B1009:Recycling
TXN-B1009-5,B1009,High Efficiency,SD,APPROVED,2025-02-24T07:14:11Z,WH-FACT,Vendor A - 4,PP,B1009:Dispatch
TXN-B1010-1,B1010,High Efficiency,PR,APPROVED,2025-02-02T15:09:50Z,WH-COLLECT,Vendor A - 4,PET,B1010:Collection
TXN-B1010-2,B1010,High Efficiency,SEG,APPROVED,2025-02-02T20:22:39Z,WH-COLLECT,Vendor A - 4,PET,B1010:Sorting
TXN-B1010-3,B1010,High Efficiency,MB,APPROVED,2025-02-02T22:55:57Z,WH-WASH,Vendor A - 4,PET,B1010:Processing
TXN-B1010-4,B1010,High Efficiency,MB,APPROVED,2025-02-03T03:33:41Z,WH-RECY,Vendor A - 4,PET,B1010:Recycling
TXN-B1010-5,B1010,High Efficiency,SD,APPROVED,2025-02-03T09:48:19Z,WH-FACT,Vendor A - 4,PET,B1010:Dispatch
TXN-B1011-1,B1011,High Efficiency,PR,APPROVED,2025-01-20T06:32:12Z,WH-COLLECT,Vendor A - 5,PP,B1011:Collection
TXN-B1011-2,B1011,High Efficiency,SEG,APPROVED,2025-01-20T13:32:51Z,WH-COLLECT,Vendor A - 5,PP,B1011:Sorting
TXN-B1011-3,B1011,High Efficiency,MB,APPROVED,2025-01-20T18:30:50Z,WH-WASH,Vendor A - 5,PP,B1011:Processing
TXN-B1011-4,B1011,High Efficiency,MB,APPROVED,2025-01-21T01:22:49Z,WH-RECY,Vendor A - 5,PP,B1011:Recycling
TXN-B1011-5,B1011,High Efficiency,SD,APPROVED,2025-01-21T02:44:20Z,WH-FACT,Vendor A - 5,PP,B1011:Dispatch
TXN-B1012-1,B1012,High Efficiency,PR,APPROVED,2025-02-11T12:15:29Z,WH-COLLECT,Vendor A - 2,HDPE,B1012:Collection
TXN-B1012-2,B1012,High Efficiency,SEG,APPROVED,2025-02-11T18:31:45Z,WH-COLLECT,Vendor A - 2,HDPE,B1012:Sorting
TXN-B1012-3,B1012,High Efficiency,MB,APPROVED,2025-02-11T23:24:11Z,WH-WASH,Vendor A - 2,HDPE,B1012:Processing
TXN-B1012-4,B1012,High Efficiency,MB,APPROVED,2025-02-12T07:10:35Z,WH-RECY,Vendor A - 2,HDPE,B1012:Recycling
TXN-B1012-5,B1012,High Efficiency,SD,APPROVED,2025-02-12T08:42:06Z,WH-FACT,Vendor A - 2,HDPE,B1012:Dispatch
TXN-B1013-1,B1013,High Efficiency,PR,APPROVED,2025-02-01T08:15:51Z,WH-COLLECT,Vendor A - 4,PET,B1013:Collection
TXN-B1013-2,B1013,High Efficiency,SEG,APPROVED,2025-02-01T14:00:12Z,WH-COLLECT,Vendor A - 4,PET,B1013:Sorting
TXN-B1013-3,B1013,High Efficiency,MB,APPROVED,2025-02-01T20:06:01Z,WH-WASH,Vendor A - 4,PET,B1013:Processing
TXN-B1013-4,B1013,High Efficiency,MB,APPROVED,2025-02-01T22:49:02Z,WH-RECY,Vendor A - 4,PET,B1013:Recycling
TXN-B1013-5,B1013,High Efficiency,SD,APPROVED,2025-02-02T06:28:21Z,WH-FACT,Vendor A - 4,PET,B1013:Dispatch
TXN-B1014-1,B1014,High Efficiency,PR,APPROVED,2025-03-01T17:12:04Z,WH-COLLECT,Vendor A - 2,HDPE,B1014:Collection
TXN-B1014-2,B1014,High Efficiency,SEG,APPROVED,2025-03-01T20:58:17Z,WH-COLLECT,Vendor A - 2,HDPE,B1014:Sorting
TXN-B1014-3,B1014,High Efficiency,MB,APPROVED,2025-03-02T03:53:38Z,WH-WASH,Vendor A - 2,HDPE,B1014:Processing
TXN-B1014-4,B1014,High Efficiency,MB,APPROVED,2025-03-02T10:34:20Z,WH-RECY,Vendor A - 2,HDPE,B1014:Recycling
TXN-B1014-5,B1014,High Efficiency,SD,APPROVED,2025-03-02T17:44:22Z,WH-FACT,Vendor A - 2,HDPE,B1014:Dispatch
TXN-B1015-1,B1015,High Efficiency,PR,APPROVED,2025-01-25T21:04:47Z,WH-COLLECT,Vendor A - 5,LDPE,B1015:Collection
TXN-B1015-2,B1015,High Efficiency,SEG,APPROVED,2025-01-26T03:34:47Z,WH-COLLECT,Vendor A - 5,LDPE,B1015:Sorting
TXN-B1015-3,B1015,High Efficiency,MB,APPROVED,2025-01-26T05:47:18Z,WH-WASH,Vendor A - 5,LDPE,B1015:Processing
TXN-B1015-4,B1015,High Efficiency,MB,APPROVED,2025-01-26T12:25:00Z,WH-RECY,Vendor A - 5,LDPE,B1015:Recycling
TXN-B1015-5,B1015,High Efficiency,SD,APPROVED,2025-01-26T17:49:47Z,WH-FACT,Vendor A - 5,LDPE,B1015:Dispatch
TXN-B1016-1,B1016,High Efficiency,PR,APPROVED,2025-02-22T18:19:26Z,WH-COLLECT,Vendor A - 1,PVC,B1016:Collection
TXN-B1016-2,B1016,High Efficiency,SEG,APPROVED,2025-02-23T01:48:04Z,WH-COLLECT,Vendor A - 1,PVC,B1016:Sorting
TXN-B1016-3,B1016,High Efficiency,MB,APPROVED,2025-02-23T06:21:17Z,WH-WASH,Vendor A - 1,PVC,B1016:Processing
TXN-B1016-4,B1016,High Efficiency,MB,APPROVED,2025-02-23T08:23:50Z,WH-RECY,Vendor A - 1,PVC,B1016:Recycling
TXN-B1016-5,B1016,High Efficiency,SD,APPROVED,2025-02-23T12:25:30Z,WH-FACT,Vendor A - 1,PVC,B1016:Dispatch
TXN-B1017-1,B1017,High Efficiency,PR,APPROVED,2025-02-19T01:53:41Z,WH-COLLECT,Vendor A - 3,PVC,B1017:Collection
TXN-B1017-2,B1017,High Efficiency,SEG,APPROVED,2025-02-19T05:55:31Z,WH-COLLECT,Vendor A - 3,PVC,B1017:Sorting
TXN-B1017-3,B1017,High Efficiency,MB,APPROVED,2025-02-19T11:39:55Z,WH-WASH,Vendor A - 3,PVC,B1017:Processing
TXN-B1017-4,B1017,High Efficiency,MB,APPROVED,2025-02-19T14:38:07Z,WH-RECY,Vendor A - 3,PVC,B1017:Recycling
TXN-B1017-5,B1017,High Efficiency,SD,APPROVED,2025-02-19T20:51:20Z,WH-FACT,Vendor A - 3,PVC,B1017:Dispatch
TXN-B1018-1,B1018,High Efficiency,PR,APPROVED,2025-02-06T15:12:41Z,WH-COLLECT,Vendor A - 3,PET,B1018:Collection
TXN-B1019-1,B1019,High Efficiency,PR,APPROVED,2025-01-30T08:51:14Z,WH-COLLECT,Vendor A - 3,PET,B1019:Collection
TXN-B1019-2,B1019,High Efficiency,SEG,APPROVED,2025-01-30T11:15:30Z,WH-COLLECT,Vendor A - 3,PET,B1019:Sorting
TXN-B1019-3,B1019,High Efficiency,MB,APPROVED,2025-01-30T12:40:22Z,WH-WASH,Vendor A - 3,PET,B1019:Processing
TXN-B1019-4,B1019,High Efficiency,MB,APPROVED,2025-01-30T19:46:53Z,WH-RECY,Vendor A - 3,PET,B1019:Recycling
TXN-B1019-5,B1019,High Efficiency,SD,APPROVED,2025-01-31T01:59:12Z,WH-FACT,Vendor A - 3,PET,B1019:Dispatch
TXN-B1020-1,B1020,High Efficiency,PR,APPROVED,2025-01-03T23:09:09Z,WH-COLLECT,Vendor A - 3,PVC,B1020:Collection
TXN-B1020-2,B1020,High Efficiency,SEG,APPROVED,2025-01-04T02:00:59Z,WH-COLLECT,Vendor A - 3,PVC,B1020:Sorting
TXN-B1020-3,B1020,High Efficiency,MB,APPROVED,2025-01-04T08:50:41Z,WH-WASH,Vendor A - 3,PVC,B1020:Processing
TXN-B1020-4,B1020,High Efficiency,MB,APPROVED,2025-01-04T14:24:23Z,WH-RECY,Vendor A - 3,PVC,B1020:Recycling
TXN-B1020-5,B1020,High Efficiency,SD,APPROVED,2025-01-04T20:24:18Z,WH-FACT,Vendor A - 3,PVC,B1020:Dispatch
TXN-B1021-1,B1021,Moderate Efficiency,PR,APPROVED,2025-01-12T09:04:13Z,WH-COLLECT,Vendor B - 4,PET,B1021:Collection
TXN-B1021-2,B1021,Moderate Efficiency,SEG,APPROVED,2025-01-12T15:21:29Z,WH-COLLECT,Vendor B - 4,PET,B1021:Sorting
TXN-B1021-3,B1021,Moderate Efficiency,MB,APPROVED,2025-01-12T22:27:09Z,WH-WASH,Vendor B - 4,PET,B1021:Processing
TXN-B1021-4,B1021,Moderate Efficiency,MB,APPROVED,2025-01-13T05:25:26Z,WH-RECY,Vendor B - 4,PET,B1021:Recycling
TXN-B1021-5,B1021,Moderate Efficiency,SD,APPROVED,2025-01-13T11:09:42Z,WH-FACT,Vendor B - 4,PET,B1021:Dispatch
TXN-B1022-1,B1022,Moderate Efficiency,PR,APPROVED,2025-01-18T04:58:29Z,WH-COLLECT,Vendor B - 5,PVC,B1022:Collection
TXN-B1022-2,B1022,Moderate Efficiency,SEG,APPROVED,2025-01-18T19:51:44Z,WH-COLLECT,Vendor B - 5,PVC,B1022:Sorting
TXN-B1022-3,B1022,Moderate Efficiency,MB,APPROVED,2025-01-19T19:44:37Z,WH-WASH,Vendor B - 5,PVC,B1022:Processing
TXN-B1022-4,B1022,Moderate Efficiency,MB,APPROVED,2025-01-21T00:34:22Z,WH-RECY,Vendor B - 5,PVC,B1022:Recycling
TXN-B1022-5,B1022,Moderate Efficiency,SD,APPROVED,2025-01-21T17:52:29Z,WH-FACT,Vendor B - 5,PVC,B1022:Dispatch
TXN-B1023-1,B1023,Moderate Efficiency,PR,APPROVED,2025-01-11T04:15:47Z,WH-COLLECT,Vendor B - 5,PP,B1023:Collection
TXN-B1023-2,B1023,Moderate Efficiency,SEG,APPROVED,2025-01-11T23:55:56Z,WH-COLLECT,Vendor B - 5,PP,B1023:Sorting
TXN-B1023-3,B1023,Moderate Efficiency,MB,APPROVED,2025-01-12T18:45:43Z,WH-WASH,Vendor B - 5,PP,B1023:Processing
TXN-B1023-4,B1023,Moderate Efficiency,MB,APPROVED,2025-01-14T01:40:18Z,WH-RECY,Vendor B - 5,PP,B1023:Recycling
TXN-B1024-1,B1024,Moderate Efficiency,PR,APPROVED,2025-03-01T22:01:51Z,WH-COLLECT,Vendor B - 3,LDPE,B1024:Collection
TXN-B1024-2,B1024,Moderate Efficiency,SEG,APPROVED,2025-03-02T18:41:24Z,WH-COLLECT,Vendor B - 3,LDPE,B1024:Sorting
TXN-B1024-3,B1024,Moderate Efficiency,MB,APPROVED,2025-03-03T05:08:09Z,WH-WASH,Vendor B - 3,LDPE,B1024:Processing
TXN-B1024-4,B1024,Moderate Efficiency,MB,APPROVED,2025-03-04T03:05:54Z,WH-RECY,Vendor B - 3,LDPE,B1024:Recycling
TXN-B1024-5,B1024,Moderate Efficiency,SD,APPROVED,2025-03-04T14:39:39Z,WH-FACT,Vendor B - 3,LDPE,B1024:Dispatch
TXN-B1025-1,B1025,Moderate Efficiency,PR,APPROVED,2025-01-11T02:06:00Z,WH-COLLECT,Vendor B - 2,PS,B1025:Collection
TXN-B1025-2,B1025,Moderate Efficiency,SEG,APPROVED,2025-01-11T19:15:39Z,WH-COLLECT,Vendor B - 2,PS,B1025:Sorting
TXN-B1025-3,B1025,Moderate Efficiency,MB,APPROVED,2025-01-13T01:13:52Z,WH-WASH,Vendor B - 2,PS,B1025:Processing
TXN-B1025-4,B1025,Moderate Efficiency,MB,APPROVED,2025-01-13T22:37:50Z,WH-RECY,Vendor B - 2,PS,B1025:Recycling
TXN-B1025-5,B1025,Moderate Efficiency,SD,APPROVED,2025-01-14T12:23:25Z,WH-FACT,Vendor B - 2,PS,B1025:Dispatch
TXN-B1026-1,B1026,Moderate Efficiency,PR,APPROVED,2025-01-04T08:06:02Z,WH-COLLECT,Vendor B - 2,PP,B1026:Collection
TXN-B1026-2,B1026,Moderate Efficiency,SEG,APPROVED,2025-01-05T14:03:39Z,WH-COLLECT,Vendor B - 2,PP,B1026:Sorting
TXN-B1026-3,B1026,Moderate Efficiency,MB,APPROVED,2025-01-06T14:25:53Z,WH-WASH,Vendor B - 2,PP,B1026:Processing
TXN-B1026-4,B1026,Moderate Efficiency,MB,APPROVED,2025-01-07T05:15:55Z,WH-RECY,Vendor B - 2,PP,B1026:Recycling
TXN-B1026-5,B1026,Moderate Efficiency,SD,APPROVED,2025-01-08T06:36:24Z,WH-FACT,Vendor B - 2,PP,B1026:Dispatch
TXN-B1027-1,B1027,Moderate Efficiency,PR,APPROVED,2025-02-20T20:00:48Z,WH-COLLECT,Vendor B - 4,PS,B1027:Collection
TXN-B1027-2,B1027,Moderate Efficiency,SEG,APPROVED,2025-02-21T17:34:51Z,WH-COLLECT,Vendor B - 4,PS,B1027:Sorting
TXN-B1027-3,B1027,Moderate Efficiency,MB,APPROVED,2025-02-22T08:52:06Z,WH-WASH,Vendor B - 4,PS,B1027:Processing
TXN-B1027-4,B1027,Moderate Efficiency,MB,APPROVED,2025-02-23T00:25:54Z,WH-RECY,Vendor B - 4,PS,B1027:Recycling
TXN-B1027-5,B1027,Moderate Efficiency,SD,APPROVED,2025-02-23T09:02:10Z,WH-FACT,Vendor B - 4,PS,B1027:Dispatch
TXN-B1028-1,B1028,Moderate Efficiency,PR,APPROVED,2025-02-07T03:45:10Z,WH-COLLECT,Vendor B - 3,PVC,B1028:Collection
TXN-B1028-2,B1028,Moderate Efficiency,SEG,APPROVED,2025-02-08T06:52:21Z,WH-COLLECT,Vendor B - 3,PVC,B1028:Sorting
TXN-B1028-3,B1028,Moderate Efficiency,MB,APPROVED,2025-02-08T21:59:13Z,WH-WASH,Vendor B - 3,PVC,B1028:Processing
TXN-B1028-4,B1028,Moderate Efficiency,MB,APPROVED,2025-02-09T02:53:47Z,WH-RECY,Vendor B - 3,PVC,B1028:Recycling
TXN-B1028-5,B1028,Moderate Efficiency,SD,APPROVED,2025-02-10T03:59:07Z,WH-FACT,Vendor B - 3,PVC,B1028:Dispatch
TXN-B1029-1,B1029,Moderate Efficiency,PR,APPROVED,2025-01-16T02:48:32Z,WH-COLLECT,Vendor B - 1,PET,B1029:Collection
TXN-B1030-1,B1030,Moderate Efficiency,PR,APPROVED,2025-02-27T13:11:00Z,WH-COLLECT,Vendor B - 2,LDPE,B1030:Collection
TXN-B1030-2,B1030,Moderate Efficiency,SEG,APPROVED,2025-02-28T11:07:20Z,WH-COLLECT,Vendor B - 2,LDPE,B1030:Sorting
TXN-B1030-3,B1030,Moderate Efficiency,MB,APPROVED,2025-03-01T15:37:16Z,WH-WASH,Vendor B - 2,LDPE,B1030:Processing
TXN-B1030-4,B1030,Moderate Efficiency,MB,APPROVED,2025-03-01T20:04:23Z,WH-RECY,Vendor B - 2,LDPE,B1030:Recycling
TXN-B1030-5,B1030,Moderate Efficiency,SD,APPROVED,2025-03-02T07:28:34Z,WH-FACT,Vendor B - 2,LDPE,B1030:Dispatch
TXN-B1031-1,B1031,Moderate Efficiency,PR,APPROVED,2025-02-22T11:01:07Z,WH-COLLECT,Vendor B - 3,LDPE,B1031:Collection
TXN-B1032-1,B1032,Moderate Efficiency,PR,APPROVED,2025-02-19T02:55:25Z,WH-COLLECT,Vendor B - 2,PET,B1032:Collection
TXN-B1032-2,B1032,Moderate Efficiency,SEG,APPROVED,2025-02-19T23:41:47Z,WH-COLLECT,Vendor B - 2,PET,B1032:Sorting
TXN-B1032-3,B1032,Moderate Efficiency,MB,APPROVED,2025-02-21T07:24:43Z,WH-WASH,Vendor B - 2,PET,B1032:Processing
TXN-B1032-4,B1032,Moderate Efficiency,MB,APPROVED,2025-02-22T01:56:31Z,WH-RECY,Vendor B - 2,PET,B1032:Recycling
TXN-B1032-5,B1032,Moderate Efficiency,SD,APPROVED,2025-02-23T04:44:07Z,WH-FACT,Vendor B - 2,PET,B1032:Dispatch
TXN-B1033-1,B1033,Moderate Efficiency,PR,APPROVED,2025-02-17T15:27:31Z,WH-COLLECT,Vendor B - 5,PET,B1033:Collection
TXN-B1033-2,B1033,Moderate Efficiency,SEG,APPROVED,2025-02-17T20:25:21Z,WH-COLLECT,Vendor B - 5,PET,B1033:Sorting
TXN-B1034-1,B1034,Moderate Efficiency,PR,APPROVED,2025-02-05T19:54:30Z,WH-COLLECT,Vendor B - 2,PVC,B1034:Collection
TXN-B1034-2,B1034,Moderate Efficiency,SEG,APPROVED,2025-02-06T22:00:40Z,WH-COLLECT,Vendor B - 2,PVC,B1034:Sorting
TXN-B1035-1,B1035,Moderate Efficiency,PR,APPROVED,2025-01-13T04:14:15Z,WH-COLLECT,Vendor B - 5,PS,B1035:Collection
TXN-B1035-2,B1035,Moderate Efficiency,SEG,APPROVED,2025-01-13T20:08:34Z,WH-COLLECT,Vendor B - 5,PS,B1035:Sorting
TXN-B1035-3,B1035,Moderate Efficiency,MB,APPROVED,2025-01-14T20:05:49Z,WH-WASH,Vendor B - 5,PS,B1035:Processing
TXN-B1035-4,B1035,Moderate Efficiency,MB,APPROVED,2025-01-15T00:16:06Z,WH-RECY,Vendor B - 5,PS,B1035:Recycling
TXN-B1035-5,B1035,Moderate Efficiency,SD,APPROVED,2025-01-15T13:23:14Z,WH-FACT,Vendor B - 5,PS,B1035:Dispatch
TXN-B1036-1,B1036,Moderate Efficiency,PR,APPROVED,2025-02-27T05:20:20Z,WH-COLLECT,Vendor B - 5,PP,B1036:Collection
TXN-B1036-2,B1036,Moderate Efficiency,SEG,APPROVED,2025-02-27T13:22:02Z,WH-COLLECT,Vendor B - 5,PP,B1036:Sorting
TXN-B1036-3,B1036,Moderate Efficiency,MB,APPROVED,2025-02-27T18:22:37Z,WH-WASH,Vendor B - 5,PP,B1036:Processing
TXN-B1036-4,B1036,Moderate Efficiency,MB,APPROVED,2025-02-28T05:23:31Z,WH-RECY,Vendor B - 5,PP,B1036:Recycling
TXN-B1036-5,B1036,Moderate Efficiency,SD,APPROVED,2025-02-28T10:19:02Z,WH-FACT,Vendor B - 5,PP,B1036:Dispatch
TXN-B1037-1,B1037,Moderate Efficiency,PR,APPROVED,2025-01-12T19:40:55Z,WH-COLLECT,Vendor B - 1,HDPE,B1037:Collection
TXN-B1038-1,B1038,Moderate Efficiency,PR,APPROVED,2025-02-27T14:54:39Z,WH-COLLECT,Vendor B - 4,PVC,B1038:Collection
TXN-B1038-2,B1038,Moderate Efficiency,SEG,APPROVED,2025-02-28T11:44:45Z,WH-COLLECT,Vendor B - 4,PVC,B1038:Sorting
TXN-B1038-3,B1038,Moderate Efficiency,MB,APPROVED,2025-03-01T04:36:36Z,WH-WASH,Vendor B - 4,PVC,B1038:Processing
TXN-B1038-4,B1038,Moderate Efficiency,MB,APPROVED,2025-03-01T20:55:23Z,WH-RECY,Vendor B - 4,PVC,B1038:Recycling
TXN-B1038-5,B1038,Moderate Efficiency,SD,APPROVED,2025-03-02T02:55:19Z,WH-FACT,Vendor B - 4,PVC,B1038:Dispatch
TXN-B1039-1,B1039,Moderate Efficiency,PR,APPROVED,2025-02-14T04:32:27Z,WH-COLLECT,Vendor B - 2,PVC,B1039:Collection
TXN-B1039-2,B1039,Moderate Efficiency,SEG,APPROVED,2025-02-14T16:19:21Z,WH-COLLECT,Vendor B - 2,PVC,B1039:Sorting
TXN-B1039-3,B1039,Moderate Efficiency,MB,APPROVED,2025-02-15T09:30:10Z,WH-WASH,Vendor B - 2,PVC,B1039:Processing
TXN-B1040-1,B1040,Moderate Efficiency,PR,APPROVED,2025-02-10T09:38:21Z,WH-COLLECT,Vendor B - 1,PP,B1040:Collection
TXN-B1040-2,B1040,Moderate Efficiency,SEG,APPROVED,2025-02-11T11:29:33Z,WH-COLLECT,Vendor B - 1,PP,B1040:Sorting
TXN-B1040-3,B1040,Moderate Efficiency,MB,APPROVED,2025-02-11T16:18:35Z,WH-WASH,Vendor B - 1,PP,B1040:Processing
TXN-B1040-4,B1040,Moderate Efficiency,MB,APPROVED,2025-02-12T02:22:14Z,WH-RECY,Vendor B - 1,PP,B1040:Recycling
TXN-B1040-5,B1040,Moderate Efficiency,SD,APPROVED,2025-02-13T03:19:00Z,WH-FACT,Vendor B - 1,PP,B1040:Dispatch
TXN-B1041-1,B1041,High Loss,PR,APPROVED,2025-01-24T18:04:12Z,WH-COLLECT,Vendor C - 5,PVC,B1041:Collection
TXN-B1041-2,B1041,High Loss,SEG,APPROVED,2025-01-26T03:33:09Z,WH-COLLECT,Vendor C - 5,PVC,B1041:Sorting
TXN-B1041-3,B1041,High Loss,MB,APPROVED,2025-01-27T08:53:52Z,WH-WASH,Vendor C - 5,PVC,B1041:Processing
TXN-B1041-4,B1041,High Loss,MB,APPROVED,2025-01-28T19:17:18Z,WH-RECY,Vendor C - 5,PVC,B1041:Recycling
TXN-B1041-5,B1041,High Loss,SD,APPROVED,2025-01-30T05:42:58Z,WH-FACT,Vendor C - 5,PVC,B1041:Dispatch
TXN-B1042-1,B1042,High Loss,PR,APPROVED,2025-02-13T05:11:27Z,WH-COLLECT,Vendor C - 5,PS,B1042:Collection
TXN-B1042-2,B1042,High Loss,SEG,APPROVED,2025-02-14T00:53:50Z,WH-COLLECT,Vendor C - 5,PS,B1042:Sorting
TXN-B1042-3,B1042,High Loss,MB,APPROVED,2025-02-14T19:47:41Z,WH-WASH,Vendor C - 5,PS,B1042:Processing
TXN-B1042-4,B1042,High Loss,MB,APPROVED,2025-02-15T22:43:07Z,WH-RECY,Vendor C - 5,PS,B1042:Recycling
